Devices
1000
,,Plate force 1 - Moment,,
Frame,Sub Frame,Mx,My
,,N.mm,N.mm
60,3,6502.44,586.471
60,4,6522.6,583.31
60,5,6523.55,590.055
60,6,6542.18,589.257
60,7,6544.83,583.983
60,8,6555.56,591.4
60,9,6533.34,589.82
61,0,6543.89,589.601
61,1,6549.54,589.037
61,2,6539.17,588.24
61,3,6574.4,595.33
61,4,6554.06,588.35
61,5,6554.81,583.42
61,6,6569.13,594.687
61,7,6543.13,590.837
61,8,6539.93,593.138
61,9,6574.21,594.828
62,0,6575.53,600.306
62,1,6573.09,608.131
62,2,6596.63,613.295
62,3,6564.04,608.507
62,4,6593.8,599.132
62,5,6584.39,596.643
62,6,6634.3,622.106
62,7,6570.44,611.182
62,8,6602.48,612.92
62,9,6588.53,608.538
63,0,6621.5,637.819
63,1,6608.87,615.33
63,2,6603.41,624.86
63,3,6592.49,630.777
63,4,6618.3,626.519
63,5,6629.4,629.039
63,6,6639.02,623.499
63,7,6617.73,623.39
63,8,6645.42,627.536
63,9,6636.94,624.673
64,0,6638.45,626.253
64,1,6626.4,631.794
64,2,6618.67,634.313
64,3,6656.91,631.121
64,4,6645.8,640.385
64,5,6624.33,634.736
64,6,6675.75,646.786
64,7,6648.81,629.603
64,8,6647.88,634.313
64,9,6654.47,639.368
65,0,6668.6,627.803
65,1,6689.13,639.525
65,2,6656.54,634.736
65,3,6666.9,648.946
65,4,6679.9,642.31
65,5,6706.09,644.156
65,6,6694.41,648.79
65,7,6683.1,653.125
65,8,6726.43,663.485
65,9,6694.03,645.471
66,0,6722.85,640.166
66,1,6675.01,656.255
66,2,6713.06,663.187
66,3,6720.97,652.107
66,4,6744.52,660.167
66,5,6729.45,665.785
66,6,6735.29,653.954
66,7,6751.88,656.63
66,8,6765.25,665.786
66,9,6725.31,667.178
67,0,6723.06,667.742
67,1,6776.18,654.596
67,2,6764.12,668.696
67,3,6753.2,658.477
67,4,6762.06,651.137
67,5,6770.9,677.804
67,6,6773.18,661.686
67,7,6765.07,674.002
67,8,6809.72,673.282
67,9,6783.16,677.429
68,0,6748.12,671.592
68,1,6782.22,697.963
68,2,6802.19,679.948
68,3,6803.51,676.944
68,4,6816.51,689.261
68,5,6791.65,675.551
68,6,6785.43,688.477
68,7,6814.82,682.249
68,8,6828.94,692.578
68,9,6806.71,695.771
69,0,6822.17,680.825
69,1,6824.61,685.379
69,2,6833.47,690.199
69,3,6829.7,689.182
69,4,6839.31,692.391
69,5,6811.06,687.524
69,6,6844.02,698.119
69,7,6857.02,693.705
69,8,6857.59,697.696
69,9,6871.53,707.837
70,0,6849.3,705.318
70,1,6883.78,702.218
70,2,6875.11,711.798
70,3,6856.27,711.641
70,4,6867.95,707.493
70,5,6893.2,713.032
70,6,6876.24,700.936
70,7,6860.42,697.211
70,8,6903.93,710.091
70,9,6901.49,722.22
71,0,6908.64,732.095
71,1,6866.45,695.177
71,2,6879.82,729.309
71,3,6901.68,714.317
71,4,6886.42,732.439
71,5,6884.73,710.091
71,6,6906.2,738.168
71,7,6893.77,725.803
71,8,6901.31,720.952
71,9,6886.42,718.495
72,0,6892.07,736.133
72,1,6925.98,731.344
72,2,6897.35,723.549
72,3,6922.97,736.618
72,4,6921.65,730.937
72,5,6904.69,734.927
72,6,6939.92,736.992
72,7,6924.85,734.443
72,8,6920.9,736.352
72,9,6943.32,732.409
73,0,6940.31,755.57
73,1,6922.79,705.583
73,2,6926.73,742.501
73,3,6924.86,741.563
73,4,6931.83,739.529
73,5,6925.04,735.193
73,6,6906.96,747.025
73,7,6961.03,748.716
73,8,6941.25,725.287
73,9,6920.14,739.872
74,0,6934.09,735.381
74,1,6926.17,740.248
74,2,6919.02,739.638
74,3,6958.39,743.942
74,4,6940.69,753.019
74,5,6966.69,740.655
74,6,6923.54,744.427
74,7,6946.34,732.408
74,8,6986.66,751.548
74,9,6993.99,753.879
75,0,6973.27,761.799
75,1,6947.47,732.596
75,2,6964.61,745.866
75,3,6995.88,753.285
75,4,6975.16,756.446
75,5,6965.94,760.97
75,6,6981.75,755.695
75,7,6975.54,757.995
75,8,6965.93,745.71
75,9,6947.28,747.213
76,0,6966.5,744.396
76,1,6979.32,732.376
76,2,6982.13,763.645
76,3,6988.54,759.013
76,4,6974.41,752.346
76,5,6946.16,745.335
76,6,6969.14,751.142
76,7,6977.99,751.063
76,8,6961.79,775.288
76,9,6983.27,760.296
77,0,6959.72,757.917
77,1,7004.18,755.476
77,2,6983.64,749.482
77,3,6996.26,744.13
77,4,6971.02,754.945
77,5,6992.31,763.911
77,6,6976.29,748.918
77,7,6982.7,757.995
77,8,6991.55,757.886
77,9,6973.47,760.781
78,0,6985.15,753.363
78,1,6981.95,753.551
78,2,6992.87,765.727
78,3,6963.67,754.786
78,4,6981.39,748.011
78,5,6960.47,755.053
78,6,6976.67,749.185
78,7,6969.32,766.243
78,8,6993.06,764.85
78,9,6979.5,768.199
79,0,6984.03,770.39
79,1,6962.73,752.8
79,2,6963.67,748.683
79,3,6967.07,748.089
79,4,6957.64,755.32
79,5,6959.34,759.122
79,6,6945.77,764.505
79,7,6968.19,761.047
79,8,6969.89,777.434
79,9,6961.22,758.668
80,0,6964.23,746.759
80,1,6978.37,766.055
80,2,6974.22,758.371
80,3,6992.3,761.267
80,4,6960.28,750.453
80,5,6951.8,750.718
80,6,6961.41,744.99
80,7,6959.71,767.745
80,8,6955,754.49
80,9,6930.89,752.674
81,0,6992.12,745.522
81,1,6939.74,764.24
81,2,6970.27,756.259
81,3,6968.19,765.069
81,4,6961.03,763.035
81,5,6951.62,740.279
81,6,6967.43,748.527
81,7,6954.44,745.287
81,8,6968.56,750.749
81,9,6970.82,751.314
82,0,6949.92,748.23
82,1,6951.43,755.726
82,2,6959.33,754.442
82,3,6937.67,747.697
82,4,6979.31,755.835
82,5,6961.03,740.044
82,6,6947.27,757.26
82,7,6954.44,740.498
82,8,6974.39,752.173
82,9,6974.78,736.008
83,0,6955.18,759.263
83,1,6951.6,740.984
83,2,6952.74,739.372
83,3,6953.3,759.514
83,4,6962.34,754.927
83,5,6968.93,756.963
83,6,6977.04,747.839
83,7,6962.91,757.526
83,8,6941.43,742.564
83,9,6955.56,753.942
84,0,6961.78,749.263
84,1,6951.8,752.549
84,2,6958.76,749.717
84,3,6947.46,744.896
84,4,6952.36,750.437
84,5,6977.22,747.979
84,6,6941.62,760.265
84,7,6931.07,736.117
84,8,6930.31,741.688
84,9,6933.71,753.52
85,0,6929.38,748.95
85,1,6927.68,743.988
85,2,6921.46,743.347
85,3,6945.19,754.991
85,4,6902.43,744.662
85,5,6908.64,736.305
85,6,6919,747.823
85,7,6926.36,747.823
85,8,6921.46,747.259
85,9,6915.99,738.777
86,0,6942.93,735.772
